return_period,time,sign_acc
return_060d,2019-11-04,0.7161961367013373
return_060d,2019-11-05,0.7151335311572701
return_060d,2019-11-06,0.7140740740740741
return_060d,2019-11-07,0.7130177514792899
return_060d,2019-11-08,0.7119645494830132
return_060d,2019-11-09,0.7109144542772862
return_060d,2019-11-10,0.7098674521354934
return_060d,2019-11-11,0.7088235294117647
return_060d,2019-11-12,0.7092511013215859
return_060d,2019-11-13,0.7082111436950147
return_060d,2019-11-14,0.7086383601756955
return_060d,2019-11-15,0.7090643274853801
return_060d,2019-11-16,0.708029197080292
return_060d,2019-11-17,0.7084548104956269
return_060d,2019-11-18,0.7088791848617176
return_060d,2019-11-19,0.7093023255813954
return_060d,2019-11-20,0.7097242380261248
return_060d,2019-11-21,0.7101449275362319
return_060d,2019-11-22,0.7105643994211288
return_060d,2019-11-23,0.7109826589595376
return_060d,2019-11-24,0.7113997113997114
return_060d,2019-11-25,0.7118155619596542
return_060d,2019-11-26,0.7122302158273381
return_060d,2019-11-27,0.7126436781609196
return_060d,2019-11-28,0.7130559540889526
return_060d,2019-11-29,0.7134670487106017
return_060d,2019-11-30,0.7138769670958512
return_060d,2019-12-01,0.7142857142857143
return_060d,2019-12-02,0.7146932952924394
return_060d,2019-12-03,0.7150997150997151
return_060d,2019-12-04,0.7155049786628734
return_060d,2019-12-05,0.7159090909090909
return_060d,2019-12-06,0.7163120567375887
return_060d,2019-12-07,0.71671388101983
return_060d,2019-12-08,0.7171145685997171
return_060d,2019-12-09,0.7175141242937854
return_060d,2019-12-10,0.7179125528913963
return_060d,2019-12-11,0.7183098591549296
return_060d,2019-12-12,0.7187060478199718
return_060d,2019-12-13,0.7191011235955056
return_060d,2019-12-14,0.7194950911640954
return_060d,2019-12-15,0.7198879551820728
return_060d,2019-12-16,0.7202797202797203
return_060d,2019-12-17,0.7206703910614525
return_060d,2019-12-18,0.7210599721059973
return_060d,2019-12-19,0.7214484679665738
return_060d,2019-12-20,0.721835883171071
return_060d,2019-12-21,0.7222222222222222
return_060d,2019-12-22,0.7212205270457698
return_060d,2019-12-23,0.721606648199446
return_060d,2019-12-24,0.7206085753803596
return_060d,2019-12-25,0.7209944751381215
return_060d,2019-12-26,0.7213793103448276
return_060d,2019-12-27,0.721763085399449
return_060d,2019-12-28,0.7221458046767538
return_060d,2019-12-29,0.7225274725274725
return_060d,2019-12-30,0.7229080932784636
return_060d,2019-12-31,0.7232876712328767
return_060d,2020-01-01,0.7236662106703147
return_060d,2020-01-02,0.7240437158469946
return_060d,2020-01-03,0.7244201909959073
return_060d,2020-01-04,0.723433242506812
return_060d,2020-01-05,0.7224489795918367
return_060d,2020-01-06,0.7214673913043478
return_060d,2020-01-07,0.7204884667571235
return_060d,2020-01-08,0.7195121951219512
return_060d,2020-01-09,0.7185385656292287
return_060d,2020-01-10,0.7175675675675676
return_060d,2020-01-11,0.7165991902834008
return_060d,2020-01-12,0.715633423180593
return_060d,2020-01-13,0.7146702557200538
return_060d,2020-01-14,0.7150537634408602
return_060d,2020-01-15,0.7154362416107383
return_060d,2020-01-16,0.7158176943699732
return_060d,2020-01-17,0.7161981258366801
return_060d,2020-01-18,0.7165775401069518
return_060d,2020-01-19,0.7169559412550067
return_060d,2020-01-20,0.7173333333333334
return_060d,2020-01-21,0.7177097203728362
return_060d,2020-01-22,0.7180851063829787
return_060d,2020-01-23,0.7184594953519257
return_060d,2020-01-24,0.7188328912466844
return_060d,2020-01-25,0.7192052980132451
return_060d,2020-01-26,0.7195767195767195
return_060d,2020-01-27,0.7199471598414795
return_060d,2020-01-28,0.7203166226912929
return_060d,2020-01-29,0.7206851119894598
return_060d,2020-01-30,0.7210526315789474
return_060d,2020-01-31,0.721419185282523
return_060d,2020-02-01,0.7217847769028871
return_060d,2020-02-02,0.7221494102228048
return_060d,2020-02-03,0.7225130890052356
return_060d,2020-02-04,0.722875816993464
return_060d,2020-02-05,0.7232375979112271
return_060d,2020-02-06,0.7235984354628422
return_060d,2020-02-07,0.7239583333333334
return_060d,2020-02-08,0.7243172951885566
return_060d,2020-02-09,0.7246753246753247
return_060d,2020-02-10,0.7250324254215305
return_060d,2020-02-11,0.7253886010362695
return_060d,2020-02-12,0.7257438551099612
return_060d,2020-02-13,0.7260981912144703
return_060d,2020-02-14,0.7264516129032258
return_060d,2020-02-15,0.7268041237113402
return_060d,2020-02-16,0.7271557271557272
return_060d,2020-02-17,0.7275064267352185
return_060d,2020-02-18,0.7278562259306803
return_060d,2020-02-19,0.7282051282051282
return_060d,2020-02-20,0.7285531370038413
return_060d,2020-02-21,0.7289002557544757
return_060d,2020-02-22,0.7292464878671775
return_060d,2020-02-23,0.7295918367346939
return_060d,2020-02-24,0.729936305732484
return_060d,2020-02-25,0.7302798982188295
return_060d,2020-02-26,0.7306226175349428
return_060d,2020-02-27,0.7309644670050761
return_060d,2020-02-28,0.7313054499366286
return_060d,2020-02-29,0.7316455696202532
return_060d,2020-03-01,0.7307206068268015
return_060d,2020-03-02,0.7297979797979798
return_060d,2020-03-03,0.7301387137452712
return_060d,2020-03-04,0.7292191435768262
return_060d,2020-03-05,0.7295597484276729
return_060d,2020-03-06,0.7298994974874372
return_060d,2020-03-07,0.7302383939774153
return_060d,2020-03-08,0.7305764411027569
return_060d,2020-03-09,0.7296620775969962
return_060d,2020-03-10,0.72875
return_060d,2020-03-11,0.7278401997503121
return_060d,2020-03-12,0.7281795511221946
return_060d,2020-03-13,0.7285180572851806
return_060d,2020-03-14,0.7288557213930348
return_060d,2020-03-15,0.7291925465838509
return_060d,2020-03-16,0.7295285359801489
return_060d,2020-03-17,0.7298636926889716
return_060d,2020-03-18,0.7301980198019802
return_060d,2020-03-19,0.73053152039555
return_060d,2020-03-20,0.7308641975308642
return_060d,2020-03-21,0.7311960542540074
return_060d,2020-03-22,0.7315270935960592
return_060d,2020-03-23,0.7318573185731857
return_060d,2020-03-24,0.7321867321867321
return_060d,2020-03-25,0.7325153374233129
return_060d,2020-03-26,0.7328431372549019
return_060d,2020-03-27,0.7331701346389229
return_060d,2020-03-28,0.7334963325183375
return_060d,2020-03-29,0.7338217338217338
return_060d,2020-03-30,0.7341463414634146
return_060d,2020-03-31,0.7344701583434835
return_060d,2020-04-01,0.7347931873479319
return_060d,2020-04-02,0.7339003645200486
return_060d,2020-04-03,0.7330097087378641
return_060d,2020-04-04,0.7321212121212122
return_060d,2020-04-05,0.7312348668280871
return_060d,2020-04-06,0.7303506650544136
return_060d,2020-04-07,0.7294685990338164
return_060d,2020-04-08,0.7285886610373945
return_060d,2020-04-09,0.727710843373494
return_060d,2020-04-10,0.7268351383874849
return_060d,2020-04-11,0.7259615384615384
return_060d,2020-04-12,0.7250900360144058
return_060d,2020-04-13,0.7242206235011991
return_060d,2020-04-14,0.7233532934131737
return_060d,2020-04-15,0.722488038277512
return_060d,2020-04-16,0.7216248506571087
return_060d,2020-04-17,0.720763723150358
return_060d,2020-04-18,0.7199046483909416
return_060d,2020-04-19,0.719047619047619
return_060d,2020-04-20,0.718192627824019
return_060d,2020-04-21,0.7173396674584323
return_060d,2020-04-22,0.7164887307236062
return_060d,2020-04-23,0.7156398104265402
return_060d,2020-04-24,0.714792899408284
return_060d,2020-04-25,0.7139479905437353
return_060d,2020-04-26,0.7131050767414404
return_060d,2020-04-27,0.7122641509433962
return_060d,2020-04-28,0.7114252061248527
return_060d,2020-04-29,0.711764705882353
return_060d,2020-04-30,0.7121034077555817
return_060d,2020-05-01,0.7112676056338029
return_060d,2020-05-02,0.7116060961313013
return_060d,2020-05-03,0.711943793911007
return_060d,2020-05-04,0.7111111111111111
return_060d,2020-05-05,0.7102803738317757
return_060d,2020-05-06,0.7106184364060677
return_060d,2020-05-07,0.710955710955711
return_060d,2020-05-08,0.7112922002328289
return_060d,2020-05-09,0.7116279069767442
return_060d,2020-05-10,0.7119628339140535
return_060d,2020-05-11,0.7122969837587007
return_060d,2020-05-12,0.712630359212051
return_060d,2020-05-13,0.7129629629629629
return_060d,2020-05-14,0.7132947976878613
return_060d,2020-05-15,0.7136258660508084
return_060d,2020-05-16,0.7139561707035755
return_060d,2020-05-17,0.7142857142857143
return_060d,2020-05-18,0.714614499424626
return_060d,2020-05-19,0.7149425287356321
return_060d,2020-05-20,0.7152698048220436
return_060d,2020-05-21,0.7155963302752294
return_060d,2020-05-22,0.7147766323024055
return_060d,2020-05-23,0.7151029748283753
return_060d,2020-05-24,0.7142857142857143
return_060d,2020-05-25,0.7134703196347032
return_060d,2020-05-26,0.7126567844925884
return_060d,2020-05-27,0.7118451025056948
return_060d,2020-05-28,0.7110352673492605
return_060d,2020-05-29,0.7102272727272727
return_060d,2020-05-30,0.7094211123723042
return_060d,2020-05-31,0.7086167800453514
return_060d,2020-06-01,0.7078142695356738
return_060d,2020-06-02,0.7081447963800905
return_060d,2020-06-03,0.7084745762711865
return_060d,2020-06-04,0.7076749435665914
return_060d,2020-06-05,0.7080045095828635
return_060d,2020-06-06,0.7083333333333334
return_060d,2020-06-07,0.7086614173228346
return_060d,2020-06-08,0.7089887640449438
return_060d,2020-06-09,0.7081930415263749
return_060d,2020-06-10,0.7085201793721974
return_060d,2020-06-11,0.7088465845464725
return_060d,2020-06-12,0.70917225950783
return_060d,2020-06-13,0.7094972067039106
return_060d,2020-06-14,0.7098214285714286
return_060d,2020-06-15,0.7090301003344481
return_060d,2020-06-16,0.7093541202672605
return_060d,2020-06-17,0.7085650723025584
return_060d,2020-06-18,0.7077777777777777
return_060d,2020-06-19,0.7069922308546059
return_060d,2020-06-20,0.7062084257206208
return_060d,2020-06-21,0.7054263565891473
return_060d,2020-06-22,0.7046460176991151
return_060d,2020-06-23,0.7038674033149172
return_060d,2020-06-24,0.7030905077262694
return_060d,2020-06-25,0.7023153252480706
return_060d,2020-06-26,0.7015418502202643
return_060d,2020-06-27,0.7007700770077008
return_060d,2020-06-28,0.7
return_060d,2020-06-29,0.6992316136114161
return_060d,2020-06-30,0.6984649122807017
return_060d,2020-07-01,0.6976998904709748
return_060d,2020-07-02,0.6969365426695843
return_060d,2020-07-03,0.6961748633879782
return_060d,2020-07-04,0.6954148471615721
return_060d,2020-07-05,0.6957470010905126
return_060d,2020-07-06,0.696078431372549
return_060d,2020-07-07,0.6964091403699674
return_060d,2020-07-08,0.6967391304347826
return_060d,2020-07-09,0.6959826275787188
return_060d,2020-07-10,0.6952277657266811
return_060d,2020-07-11,0.6944745395449621
return_060d,2020-07-12,0.6948051948051948
return_060d,2020-07-13,0.6951351351351351
return_060d,2020-07-14,0.6954643628509719
return_060d,2020-07-15,0.6957928802588996
return_060d,2020-07-16,0.6961206896551724
return_060d,2020-07-17,0.6964477933261571
return_060d,2020-07-18,0.6967741935483871
return_060d,2020-07-19,0.6970998925886144
return_060d,2020-07-20,0.6963519313304721
return_060d,2020-07-21,0.6956055734190782
return_060d,2020-07-22,0.6948608137044968
return_060d,2020-07-23,0.6941176470588235
return_060d,2020-07-24,0.6933760683760684
return_060d,2020-07-25,0.6926360725720384
return_060d,2020-07-26,0.6929637526652452
return_060d,2020-07-27,0.6932907348242812
return_060d,2020-07-28,0.6936170212765957
return_060d,2020-07-29,0.69394261424017
return_060d,2020-07-30,0.6942675159235668
return_060d,2020-07-31,0.694591728525981
return_060d,2020-08-01,0.6949152542372882
return_060d,2020-08-02,0.6952380952380952
return_060d,2020-08-03,0.6955602536997886
return_060d,2020-08-04,0.6958817317845829
return_060d,2020-08-05,0.6962025316455697
return_060d,2020-08-06,0.6965226554267651
return_060d,2020-08-07,0.6968421052631579
return_060d,2020-08-08,0.6971608832807571
return_060d,2020-08-09,0.6974789915966386
return_060d,2020-08-10,0.6977964323189927
return_060d,2020-08-11,0.6981132075471698
return_060d,2020-08-12,0.6984293193717277
return_060d,2020-08-13,0.698744769874477
return_060d,2020-08-14,0.6990595611285266
return_060d,2020-08-15,0.6993736951983298
return_060d,2020-08-16,0.6996871741397289
return_060d,2020-08-17,0.7
return_060d,2020-08-18,0.700312174817898
return_060d,2020-08-19,0.7006237006237006
return_060d,2020-08-20,0.6998961578400831
return_060d,2020-08-21,0.6991701244813278
return_060d,2020-08-22,0.6984455958549223
return_060d,2020-08-23,0.6977225672877847
return_060d,2020-08-24,0.6970010341261634
return_060d,2020-08-25,0.6962809917355371
return_060d,2020-08-26,0.695562435500516
return_060d,2020-08-27,0.6958762886597938
return_060d,2020-08-28,0.6951596292481977
return_060d,2020-08-29,0.6944444444444444
return_060d,2020-08-30,0.6937307297019527
return_060d,2020-08-31,0.6930184804928131
return_060d,2020-09-01,0.6923076923076923
return_060d,2020-09-02,0.6915983606557377
return_060d,2020-09-03,0.6908904810644831
return_060d,2020-09-04,0.6901840490797546
return_060d,2020-09-05,0.6894790602655771
return_060d,2020-09-06,0.6887755102040817
return_060d,2020-09-07,0.6880733944954128
return_060d,2020-09-08,0.6873727087576375
return_060d,2020-09-09,0.6866734486266531
return_060d,2020-09-10,0.6859756097560976
return_060d,2020-09-11,0.6862944162436548
return_060d,2020-09-12,0.6855983772819473
return_060d,2020-09-13,0.684903748733536
return_060d,2020-09-14,0.6842105263157895
return_060d,2020-09-15,0.6835187057633973
return_060d,2020-09-16,0.6828282828282828
return_060d,2020-09-17,0.6821392532795156
return_060d,2020-09-18,0.6814516129032258
return_060d,2020-09-19,0.6807653575025177
return_060d,2020-09-20,0.6810865191146881
return_060d,2020-09-21,0.6814070351758794
return_060d,2020-09-22,0.6807228915662651
return_060d,2020-09-23,0.6810431293881645
return_060d,2020-09-24,0.6803607214428857
return_060d,2020-09-25,0.6796796796796797
return_060d,2020-09-26,0.679
return_060d,2020-09-27,0.6783216783216783
return_060d,2020-09-28,0.6776447105788423
return_060d,2020-09-29,0.6769690927218345
return_060d,2020-09-30,0.6762948207171314
return_060d,2020-10-01,0.6756218905472637
return_060d,2020-10-02,0.6749502982107356
return_060d,2020-10-03,0.6742800397219464
return_060d,2020-10-04,0.6736111111111112
return_060d,2020-10-05,0.6729435084241824
return_060d,2020-10-06,0.6722772277227723
return_060d,2020-10-07,0.6716122650840751
return_060d,2020-10-08,0.6709486166007905
return_060d,2020-10-09,0.6702862783810464
return_060d,2020-10-10,0.6696252465483234
return_060d,2020-10-11,0.6689655172413793
return_060d,2020-10-12,0.6692913385826772
return_060d,2020-10-13,0.6686332350049164
return_060d,2020-10-14,0.6679764243614931
return_060d,2020-10-15,0.6673209028459274
return_060d,2020-10-16,0.6666666666666666
return_060d,2020-10-17,0.6660137120470128
return_060d,2020-10-18,0.6653620352250489
return_060d,2020-10-19,0.6647116324535679
return_060d,2020-10-20,0.6650390625
return_060d,2020-10-21,0.6653658536585366
return_060d,2020-10-22,0.665692007797271
return_060d,2020-10-23,0.6660175267770204
return_060d,2020-10-24,0.6663424124513618
return_060d,2020-10-25,0.6666666666666666
return_060d,2020-10-26,0.6669902912621359
return_060d,2020-10-27,0.6673132880698351
return_060d,2020-10-28,0.6676356589147286
return_060d,2020-10-29,0.6679574056147144
return_060d,2020-10-30,0.6682785299806576
return_060d,2020-10-31,0.6685990338164252
return_060d,2020-11-01,0.668918918918919
return_060d,2020-11-02,0.6692381870781099
return_060d,2020-11-03,0.6695568400770713
return_060d,2020-11-04,0.6698748796920115
return_060d,2020-11-05,0.6701923076923076
return_060d,2020-11-06,0.6705091258405379
return_060d,2020-11-07,0.6708253358925144
return_060d,2020-11-08,0.6711409395973155
return_060d,2020-11-09,0.671455938697318
return_060d,2020-11-10,0.6717703349282297
return_060d,2020-11-11,0.6720841300191205
return_060d,2020-11-12,0.6723973256924546
return_060d,2020-11-13,0.6727099236641222
return_060d,2020-11-14,0.67302192564347
return_060d,2020-11-15,0.6733333333333333
return_060d,2020-11-16,0.6736441484300666
return_060d,2020-11-17,0.6739543726235742
return_060d,2020-11-18,0.674264007597341
return_060d,2020-11-19,0.674573055028463
