quantile,time,HashRate_ma7_ma30,mvrv_zscore,RSI,Mayer_multiple
0.5,2024-08-14,0.038036862140773064,0.0,44.38499635597251,0.8859351309219199
0.6,2024-08-14,0.053233664444082014,0.48619327035801946,49.6253073367668,1.05749536965395
0.7,2024-08-14,0.07262567571179739,1.0815050841808456,54.7405227898472,1.1720297259662118
0.8,2024-08-14,0.10406485954736112,1.4954272623695968,60.646346891193055,1.3090330871163485
0.9,2024-08-14,0.17995347030982273,2.1421359356298995,69.44614820550167,1.5962264832619906
0.1,2024-08-15,-0.025886734324976696,-1.358153805790249,0.0,0.0
0.2,2024-08-15,-0.0033025653215738907,-1.0605420244130255,0.0,0.0
0.3,2024-08-15,0.011937440931163442,-0.7349461376586295,13.298982762086842,0.0
0.4,2024-08-15,0.0240521778175197,-0.3008521758752174,38.45677358200972,0.7331051746129394
0.5,2024-08-15,0.03803068621155936,0.0,44.37823376800954,0.8862600177965174
0.6,2024-08-15,0.053213921047787896,0.4856582195899834,49.61212591328452,1.0574380929216474
0.7,2024-08-15,0.07262514433551467,1.0810032752450665,54.73852643309278,1.1720259774392485
0.8,2024-08-15,0.10402896473014203,1.4954252727684394,60.64471994104727,1.3089617056920662
0.9,2024-08-15,0.17993711817180807,2.1417765912150135,69.44518106320616,1.5961679353496336
0.1,2024-08-16,-0.025879680238435593,-1.35807848344265,0.0,0.0
0.2,2024-08-16,-0.0033013175896558157,-1.0604457549207051,0.0,0.0
0.3,2024-08-16,0.01190938158319965,-0.7347345951382366,13.429300507524504,0.0
0.4,2024-08-16,0.02403159983035917,-0.30098211189631424,38.459417206849565,0.7332646173112579
0.5,2024-08-16,0.037968970177011396,0.0,44.377971563307526,0.8863037368783468
0.6,2024-08-16,0.053202027234648286,0.48514684642595385,49.60440060585899,1.0572450935608262
0.7,2024-08-16,0.07262461295923198,1.0805014663092884,54.73653007633837,1.1720222289122855
0.8,2024-08-16,0.10399306991292293,1.4954232831672822,60.64309299090148,1.3088903242677836
0.9,2024-08-16,0.17992076603379342,2.1414172468001276,69.44421392091067,1.5961093874372767
0.1,2024-08-17,-0.025872626151894496,-1.3580031610950511,0.0,0.0
