Date,Close,High,Low,Open,Volume
1/30/2012,1731,1739.900024,1715.699951,1737.199951,53427
1/31/2012,1737.800049,1747.699951,1725,1731.699951,7540
2/1/2012,1747.099976,1751.099976,1734,1738.199951,2027
2/2/2012,1756.800049,1761.099976,1742.900024,1745.099976,2062
2/3/2012,1737.900024,1761.300049,1724.5,1758.699951,543
2/6/2012,1722.800049,1738.300049,1713.300049,1728,726
2/7/2012,1746.400024,1748,1713.199951,1722,272
2/8/2012,1729.300049,1751.5,1728.199951,1744,955
2/9/2012,1739,1749.699951,1726.099976,1731.400024,119
2/10/2012,1723.300049,1734.400024,1706.400024,1732.699951,248
2/13/2012,1723,1733,1718.400024,1725,104
2/14/2012,1715.900024,1724.900024,1715,1720,94
2/15/2012,1726.300049,1737,1723.599976,1723.599976,110
2/16/2012,1726.800049,1728.400024,1707,1718.400024,38
2/17/2012,1724.5,1735.099976,1718.800049,1733.599976,80
2/21/2012,1757.099976,1760,1733.599976,1736.099976,115
2/22/2012,1770,1781.900024,1750,1758.699951,161
2/23/2012,1784.900024,1786,1773,1774,298
2/24/2012,1775.099976,1780.699951,1771.300049,1778.5,129
2/27/2012,1773.599976,1775.599976,1768.099976,1773.599976,841
2/28/2012,1787,1789.400024,1767.900024,1767.900024,306
2/29/2012,1709.900024,1790.400024,1669,1789.900024,359
3/1/2012,1721.099976,1724.599976,1698.599976,1698.599976,214
3/2/2012,1708.800049,1723,1705.199951,1723,135
3/5/2012,1703,1709.5,1695.400024,1705.5,421
3/6/2012,1671.400024,1708.699951,1666,1708.699951,176
3/7/2012,1683.300049,1684,1673.099976,1676,39
3/8/2012,1698.099976,1702.400024,1686.400024,1686.400024,301
3/9/2012,1710.900024,1710.900024,1680.699951,1698.800049,73
3/12/2012,1699.199951,1708.099976,1694.900024,1708.099976,98
3/13/2012,1693.699951,1698.400024,1685.099976,1698.400024,47
3/14/2012,1642.5,1681,1637.400024,1676.900024,201
3/15/2012,1659.099976,1660.199951,1640,1646.300049,405
3/16/2012,1655.5,1661.400024,1641.300049,1660,317
3/19/2012,1666.900024,1668,1652.099976,1661.199951,462
3/20/2012,1646.699951,1652.300049,1642,1648.099976,250
3/21/2012,1650,1660,1646.099976,1657.800049,546
3/22/2012,1642.300049,1649.400024,1633.800049,1648,321
3/23/2012,1662.300049,1665.099976,1646.300049,1652.5,76
