,y,x,intercept,coef,R2
30,return_182d,Open,0.5010885448275927,[5.18573182e-07],0.0002455834854155903
22,return_182d,rate_up_volume_z_exp,1.901539235404961,[-9.85458253],5.994449806356883e-05
6,return_182d,rate_up_market_count,1.9084813094849726,[-0.9770678],0.00029965403512211
62,return_182d,ATR,0.3475939210298986,[0.00015075],0.033697398657668964
54,return_182d,RSI,-0.5784143590453715,[0.02064958],0.07782626999539088
38,return_182d,Volume,0.41723535861165245,[4.51605875e-12],0.009644485025445793
14,return_182d,rate_down_market_count,1.9048298562991324,[-0.28739498],0.0001469423510538359
46,return_182d,PIC,0.7707159316059159,[1.30473035e-05],0.09018635512524253
30,return_182d,rate_down_volume_z_exp,1.9019592461445094,[-12.15498135],7.226039217289593e-05
54,return_182d,signal_confidence,21.849987420137005,[-23.52561301],0.15362266981626027
6,return_182d,price_vs_ma,0.46004380452666127,[6.58601028],0.16054872633795236
86,return_182d,AdrBalCnt_ma7_ma30,-0.7216812811234605,[176.04563001],0.46911021406111675
78,return_182d,TxTfrCnt_ma7_ma30,1.6781647724813702,[10.8293841],0.044466551239316754
38,return_182d,mvrv_zone,1.8958233813926495,[0.40740264],0.0022607657649651447
14,return_182d,mvrv_zscore,1.8785415101194436,[0.09931977],0.00037766091076207875
6,return_182d,Close,0.5000514070335866,[5.56501973e-07],0.000283076744084898
38,return_182d,btc_sentiment,1.7587712728182971,[0.15957467],3.7902495965136396e-06
102,return_182d,price_ma7_ma30,1.383497405094441,[14.49862494],0.0848019242552045
70,return_182d,HashRate_ma7_ma30,0.4140157136661513,[23.61448796],0.16335457058488645
14,return_182d,High,0.4978497588275193,[6.25854323e-07],0.00037002990774703814
46,return_182d,mvrv_volatility,-0.9721182724033981,[5.30232365],0.060065244690441166
94,return_182d,FeeTotNtv_ma7_ma30,1.8344397520811113,[1.33607211],0.0037972259431078292
30,return_182d,mvrv_acceleration,1.933993394052566,[-0.99067025],0.007747025319815748
62,return_182d,polymarket_sentiment,1.7587712728182971,[0.15957467],3.7902495965136396e-06
22,return_182d,Low,0.5045477851865597,[3.99000602e-07],0.00014017595244864012
70,return_182d,Mayer_multiple,-1.5400929537393657,[1.82040744],0.6849820399021569
22,return_182d,mvrv_gradient,1.8851721616538697,[-0.72698529],0.004654091840328722
31,return_365d,mvrv_acceleration,5.457095574132912,[-1.3926813],0.0020542506520723203
79,return_365d,TxTfrCnt_ma7_ma30,5.362532067113895,[-8.65450128],0.0038097230653164615
23,return_365d,Low,1.3905545724305395,[-2.89014766e-07],1.1651693557324094e-05
55,return_365d,RSI,-0.2729452674073074,[0.03126859],0.028271113620782717
71,return_365d,HashRate_ma7_ma30,4.689324535780034,[9.03956086],0.003211088484609048
63,return_365d,ATR,1.0148825400954782,[0.00033121],0.025769607035356912
47,return_365d,mvrv_volatility,-0.9985109623344961,[11.78713875],0.039822200382096606
63,return_365d,polymarket_sentiment,4.862463797746122,[0.74641653],1.112463527785934e-05
7,return_365d,rate_up_market_count,5.624585449974529,[-3.04164472],0.0003906461563285557
39,return_365d,mvrv_zone,5.611999626905466,[-1.83381758],0.0061629856624303425
15,return_365d,rate_down_market_count,5.613689897424257,[-0.94185089],0.00021231115221020946
95,return_365d,FeeTotNtv_ma7_ma30,5.249933010744282,[-5.30281901],0.00802423493467419
23,return_365d,mvrv_gradient,5.334560512906768,[-3.77750721],0.01686038605991136
47,return_365d,PIC,1.8868524124304487,[2.57227388e-05],0.05553366026083284
103,return_365d,price_ma7_ma30,5.352661571381161,[-3.2866473],0.0005845865628297808
15,return_365d,mvrv_zscore,5.691530292025029,[-1.34833382],0.009338963573345294
23,return_365d,rate_up_volume_z_exp,5.601899882967169,[-28.94319963],6.957018449227359e-05
39,return_365d,Volume,1.3246784902276534,[2.68708521e-12],0.0005409353087281188
7,return_365d,Close,1.3804361300619057,[9.14632489e-08],1.2113972969185482e-06
7,return_365d,price_vs_ma,3.5965192178808545,[8.08318267],0.03244582337162705
55,return_365d,signal_confidence,37.48983934214823,[-37.91915458],0.05353947222736832
15,return_365d,High,1.375140149286954,[2.8185663e-07],1.1889659076391723e-05
39,return_365d,btc_sentiment,4.862463797746122,[0.74641653],1.112463527785934e-05
31,return_365d,rate_down_volume_z_exp,5.603259869136925,[-36.14296641],8.595916693154848e-05
31,return_365d,Open,1.3826174142200485,[1.08175667e-08],1.6930149393523664e-08
87,return_365d,AdrBalCnt_ma7_ma30,-0.30999259148871783,[381.28588014],0.2951951507958932
71,return_365d,Mayer_multiple,-2.3399275221219287,[3.29753679],0.3560769481402003
